epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,9965.46,1.1896,1.29435,1.19346,0.60225,0.43835,0.47035,0.31616,1.26297,1.27696,1.17213,5.0007e-05,5.0007e-05,5.0007e-05
42,10208.5,1.18661,1.28871,1.19236,0.60225,0.43836,0.4704,0.31629,1.26254,1.27587,1.17161,4.12234e-05,4.12234e-05,4.12234e-05
43,10451.6,1.16673,1.17561,1.16042,0.60049,0.44007,0.47085,0.31647,1.26194,1.27523,1.17104,3.32687e-05,3.32687e-05,3.32687e-05
44,10695.2,1.16343,1.16935,1.15757,0.60443,0.43726,0.47113,0.3165,1.26146,1.27476,1.1706,2.61743e-05,2.61743e-05,2.61743e-05
45,10937.1,1.16235,1.16615,1.156,0.60782,0.43552,0.47124,0.31681,1.26125,1.27437,1.17038,1.99681e-05,1.99681e-05,1.99681e-05
46,11179.2,1.16068,1.16233,1.15587,0.6061,0.43637,0.4715,0.31712,1.26115,1.27392,1.17013,1.46747e-05,1.46747e-05,1.46747e-05
47,11421.9,1.1596,1.159,1.15573,0.60648,0.43696,0.47166,0.31727,1.26097,1.27367,1.16989,1.03149e-05,1.03149e-05,1.03149e-05
48,11665.9,1.16058,1.15819,1.15519,0.60559,0.43768,0.47162,0.31722,1.26102,1.27355,1.16985,6.90605e-06,6.90605e-06,6.90605e-06
49,11909.2,1.15899,1.15595,1.1541,0.60528,0.43787,0.47168,0.31717,1.26111,1.27367,1.16968,4.46147e-06,4.46147e-06,4.46147e-06
50,12149.9,1.15868,1.15692,1.15387,0.60654,0.43786,0.47159,0.31716,1.26113,1.27366,1.16959,2.99085e-06,2.99085e-06,2.99085e-06
