epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.75,1.26329,1.42918,1.22486,0.55877,0.38727,0.40789,0.26831,1.3184,1.47011,1.2153,4.99899e-05,4.99899e-05,0.0500601
2,515.77,1.18753,1.23839,1.17224,0.59081,0.44147,0.47601,0.32109,1.24803,1.26351,1.16157,9.62032e-05,9.62032e-05,0.000106347
3,744.192,1.16513,1.18381,1.15854,0.59276,0.44656,0.47769,0.32091,1.25177,1.26461,1.15836,8.54286e-05,8.54286e-05,8.54286e-05
4,968.774,1.16135,1.17032,1.15535,0.59179,0.44588,0.47612,0.32089,1.24446,1.2627,1.15464,6.92885e-05,6.92885e-05,6.92885e-05
5,1192.85,1.15616,1.16216,1.15165,0.58056,0.45091,0.47823,0.32397,1.23777,1.25571,1.15413,5.025e-05,5.025e-05,5.025e-05
6,1419.08,1.15277,1.15158,1.14936,0.58424,0.45118,0.47929,0.32448,1.23796,1.25157,1.15346,3.12115e-05,3.12115e-05,3.12115e-05
7,1647.31,1.14843,1.1428,1.14766,0.59478,0.4446,0.48071,0.32565,1.23811,1.25019,1.15301,1.50714e-05,1.50714e-05,1.50714e-05
8,1872.16,1.14849,1.13961,1.14691,0.59246,0.44966,0.48102,0.32598,1.23768,1.24869,1.15318,4.28699e-06,4.28699e-06,4.28699e-06
